2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:25,530 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:26,536 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:27,543 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:28,560 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:29,573 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

