2022-04-04 17:04:49,380 | Network_comissioning | INFO | serial opened
2022-04-04 17:05:53,570 | Network_comissioning | INFO | serial opened
2022-04-04 17:08:39,465 | Network_comissioning | INFO | serial opened
2022-04-04 17:15:57,424 | Network_comissioning | INFO | serial opened
2022-04-04 17:16:25,358 | Network_comissioning | INFO | serial opened
2022-04-04 17:17:30,911 | Network_comissioning | INFO | serial opened
2022-04-04 17:21:10,588 | Network_comissioning | INFO | serial opened
2022-04-04 17:22:23,397 | Network_comissioning | INFO | serial opened
2022-04-04 17:25:41,334 | Network_comissioning | INFO | serial opened
2022-04-04 17:26:10,325 | Network_comissioning | INFO | serial opened
2022-04-04 17:41:28,057 | Network_comissioning | INFO | serial opened
2022-04-04 17:42:03,598 | Network_comissioning | INFO | serial opened
2022-04-04 17:42:27,705 | Network_comissioning | INFO | serial opened
2022-04-04 17:43:11,088 | Network_comissioning | INFO | serial opened
2022-04-04 17:45:47,810 | Network_comissioning | INFO | serial opened
2022-04-04 17:49:23,112 | Network_comissioning | INFO | serial opened
2022-04-04 17:50:15,326 | Network_comissioning | INFO | serial opened
2022-04-04 17:55:50,063 | Network_comissioning | INFO | serial opened
2022-04-04 17:56:22,564 | Network_comissioning | INFO | serial opened
2022-04-20 14:49:16,674 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:49:16,674 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:49:16,674 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:49:35,450 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:49:35,450 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:49:35,451 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:51:49,317 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:51:49,318 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:51:49,318 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:52:32,658 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:52:32,658 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:52:32,659 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:52:58,018 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:52:58,019 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:52:58,019 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:53:17,654 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:53:17,655 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:53:17,655 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:53:21,790 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:53:21,791 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:53:21,791 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:54:51,024 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:54:51,025 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:54:51,025 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:55:01,110 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:55:01,111 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:55:01,111 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:55:34,854 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:55:34,855 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:55:34,855 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:55:51,242 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:55:51,242 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:55:51,242 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:56:42,605 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:56:42,605 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:56:42,606 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:56:58,882 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:56:58,882 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:56:58,882 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:57:41,716 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:57:41,716 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:57:41,717 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:57:46,256 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:57:46,256 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:57:46,257 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:58:20,915 | Network_comissioning | WARNING | name category not recognised.
2022-04-20 14:58:20,915 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:58:20,916 | Network_comissioning | WARNING | device_ref category not recognised.
2022-04-20 14:59:24,379 | Network_comissioning | WARNING | device_type category not recognised.
2022-04-20 14:59:24,381 | Network_comissioning | WARNING | device_ref category not recognised.
